station name,station code
Amritvel,AVL
Amroha,AMRO
Amta,AMZ
Amta,AMTA
Anaimalai Road,ANM
Anajmandi Rewari,AMRI
Anakapalle,AKP
Anakhi,ANKI
Anakhol,AKL
Anand Jn,ANND
Anand Nagar,ANDN
Anand Vihar H,ANVR
Anand Vihar Terminal,ANVT
Anandapuram H,ANF
Anandatandavapuram,ANP
Anandpur Sahib,ANSB
Anangur,ANU
Anantapur,ATP
Anantarajupet,ANE
Anantnag,ANT
Anantpaith,AEH
Anaparti,APT
Anara,ANR
Anas,ANAS
Anaval,ANW
Anavardikhanpettai,AVN
Ancheli,ACL
Anchuri P H,ANCR
Andal Jn,UDL
Andampallam,AND
Andanapettai,APE
Andheri,ADH
Andipatti,ADPT
Andul,ADL
Anekal Road,AEK
Angadgeri H,ANGR
Angadi,AGCI
Angadipuram,AAM
Angai H,AGE
Angalakuduru,AKU
Angamali,AFK
Angar,AAG
Angar Ghat,ARG
Angarpathra H,ANJE
Angua P H,AGV
Angul,ANGL
Anipur,APU
Anjangaon,ANJ
Anjani,ANO
Anjar,AJE
Anji Shahabad,AJI
Anji Shahabad,AJT
Ankai,ANK
Ankai Kila,AAK
Ankai Manmad Direct,ANKX
Anklav,ALV
Ankleshwar Jn,AKV
Ankleshwar Udyognagar,AKVU
Ankola,ANKL
Ankorah Akorha,ANH
Anksapur,AKSP
Ankuspur,AKS
Anna Nagar,ANNG
Annanur,ANNR
Annavaram,ANV
Annechakanahalli H,ANC
Annigeri,NGR
Anpara,ANPR
Antagarh,AAGH
Antah,ATH
Antri,ARI
Antroli,ANL
Antu,ANTU
Anugrah Narayan Road,AUBR
Anupalem H,ANPM
Anupganj,APG
Anupgarh,APH
Anuppambattu,APB
Anuppur Jn,APR
Anupshahr,AUS
Aonla,AO
Appaipalli,APMR
Appikatla,APL
Apta,APTA
Ara,ARA
Arabagatta H,ABGT
Arag,ARAG
Arakkonam,AJJ
Arakkonam North Cabin,AJJN
Araku,ARK
Araku Valley,ARKV
Aralaguppe H,ARGP
Aralvaymoli,AAY
Arambag,AMBG
Arambakam,AKM
Arand,ARN
Arang Mahanadi,ANMD
Aranghata,AG
Arantangi,ATQ
Araon,AON
Arariya,ARR
Arariya Court,ARQ
Arasalu H,ARU
Araul Makanpur,ARL
Aravali Road,AVRD
Aravalli,AVLI
Aravankadu,AVK
Archipathar Halt,ACPR
Areli H,ARX
Arepalli H,ARPL
Argora P H,AOR
Argul Ph,ARGL
Arigada,ARGD
Ariyalur,ALU
Arjansar,AS
Arjun Nagar,ANMP
Arjunahalli H,ARNH
Arjuni,AJU
Arkha H,ARKA
Armur,ARMU
Arnej,AEJ
Arnetha,ARE
Arni Road,ARV
Arniya,ARNA
Aroor,AROR
Arseni,ASI
Arsikere Jn,ASK
Artalakatta,AKAH
Arts College,ATC
Arumuganeri,ANY
Arun Nagar H,ARNG
Arunachal,ARCL
Aruppukkottai,APK
Arvi,ARVI
Aryankavu,AYV
Aryankavu New,AYVN
Asafpur,AFR
Asakalattur Halt,ACT
Asalpur Jobner,JOB
Asan,ASAN
Asanboni,ASB
Asangaon,ASO
Asanpur Kupha Halt,APKH
Asansol Jn,ASN
Asaoti,AST
Asaranada,AAS
Asarma,ASM
Asarva Jn,ASV
Asaudah,ASE
Ashapura Gomat,AQG
Ashapurna Devi,APRD
Ashok Nagar,ASKN
Ashokapuram,AP
Ashoknagar Road,ASKR
Ashti,AHI
Asifabad Road,ASAF
Asirgarh Road,AGQ
Aslana,ANA
Aslaoda,ASL
Aslu,ASLU
Asnera,AER
Asnoti,AT
Asokhar,AXK
Aspari,ASP
Asra H,ASRA
Asra Halt,ASAR
Astegaon,ASTG
Asthal Bohar,ABO
Asvali,AV
Aswapuram,AWM
Ata,ATA
Atamanda,AMA
Atari Border,ATTB
Atari Jn,ATT
Ataria,AA
Atarra,ATE
Ateli,AEL
Atgaon,ATG
Athmal Gola,ATL
Athsarai,ASCE
Atladara,ATDA
Atrampur,ARP
Atrauli Road,AUR
Atraura H,ATRR
Atru,ATRU
Attabira,ATS
Attar,ATR
Attili,AL
Attipattu Pudu Nagar H,AIPP
Attippattu,AIP
Attur,ATU
Atul,ATUL
Atwa Kursath,ATKS
Atwa Muthia H,ATW
Aujari,AJRE
Aulant,ALQ
Aulenda,AED
Aung,AUNG
Aungaridham H,ANGM
Aunlajori Jn,OND
Aunrihar Jn,ARJ
Aunta H,ANAH
Aurahi F,AUI
Aurang Nagar,AUN
Aurangabad,AWB
Ausa Road,OSA
Auvaneeswarem,AVS
Auwa,AUWA
Avadi,AVD
Avatihalli H,AVT
Avidha,AVH
Avuladatla,ALAT
Awa Garh,AWG
Awantipura,ATPA
Awapur F,AWPR
Awasani (Halt),AWS
Awatarnagar F,ATNR
Ayandur,AYD
Ayingudi,AYI
Ayodhya Cantt,AYC
Ayodhya Dham Jn,AY
Ayodhyapattanam,APN
Ayyalur,AYR
Ayyampet,AZP
Azamgarh,AMH
Azamnagar Road,AZR
Azhwarkurichi,AZK
Azimganj,AZ
Azimganj City,ACLE
Azimganj Jn Cabin,AJLE
B.G.Nagar,BGNR
Baad,BAD
Baba Bakala Raiya,BBKR
Baba Bhagwan Ram H,BBRM
Baba Lakshman Das Puri H,BBLK
Baba Raghuni Halt Dwarika,BRHD
Baba Sodhal Nagar,BBSL
Babaganj,BBJ
Babarpur,BBDE
Babatpur,BTP
Babhabgaon H,BAHN
Babhanjyotiya H,BNGY
Babhnan,BV
Babhulgaon,BBV
Babina,BAB
Bablad,BBD
Babrala,BBA
Babugarh,BBO
Babupeth,BUPH
Babupur H,BBPR
Bachar,BCHR
Bacheli,BCHL
Bachharpur H,XBAC
Bachharpur Halt,BCPR
Bachhrawn,BCN
Bachwara Jn,BCA
Badabandha,BDBA
Badakhandiaita,BDKT
Badalpur P H,BDPA
Badami,BDM
Badampahar,BMPR
Badampudi,BPY
Badanaguppe H,BDGP
Badapadagaon Ph,BDPG
Badarpur Ghat,BPG
Badarpur Jn,BPB
Badarwas,BDWS
Badausa,BUS
Baddowal,BWZ
Bade Arapur,BDXX
Badhada,BDHA
Badhai Balamgarh H,BDBG
Badhal,BDHL
Badhari Kalan,BHK
Badhuna H,BADH
Badkulla,BDZ
Badla Ghat,BHB
Badlapur,BUD
Badli,BHD
Badmal,BUDM
Badnapur,BDU
Badnera Jn,BD
Badodar,BDDR
Badshahnagar,BNZ
Badshahpur,BSE
Badulipar,BLPR
Badwasi,BWS
Bagadia Ph,BGDI
Bagaha,BUG
Bagaha Bishnupur,BCJ
Bagalia,BGA
Bagalkot,BGK
Bagarpur H,BGRR
Bagbahra,BGBR
Bagdihi,BEH
Bageshapura,BGPA
Bagetar,BF
Bagewadi H,BGWD
Bagh Bazar,BBR
Bagha Jatin F,BGJT
Baghai Road,BGHI
Baghara Raod,BHRD
Baghauli,BGH
Baghdogra,BORA
Baghi Bardiha,BBE
Baghi Ghauspur,BFX
Baghmara Halt,BHMA
Baghnapara,BGRA
Baghoikusa,BHKH
Baghora,BJQ
Baghpat Road,BPM
Baghuapal,BGPL
Bagila,BGF
Bagmar,BMA
Bagnan,BZN
Bagra Tawa,BGTA
Bagrakot,BRQ
Bagri Nagar,BQN
Bagri Sajjanpur,BGX
Bagribari,BGBI
Bagrigram Halt,BIGH
Bagthar,BFG
Bagula,BGL
Bagumra,BGMR
Bagwada H,BAGD
